Date,Morning ,Evening ,Other ,Total,Food per sack 
01/01/2025,,,,0,
01/02/2025,15,14,2,31,
01/03/2025,10,12,,22,
01/04/2025,8,23,,31,
01/05/2025,8,20,,28,
01/06/2025,18,15,2,35,
01/07/2025,8,20,,28,
01/08/2025,8,20,,28,
01/09/2025,3,19,,22,2
01/10/2025,12,14,,26,
01/11/2025,9,11,,20,
01/12/2025,13,24,,37,
01/13/2025,7,23,,30,
01/14/2025,9,19,2,30,
01/15/2025,,25,,25,
01/16/2025,7,22,,29,
01/17/2025,10,13,,23,
01/18/2025,10,19,,29,
01/19/2025,4,22,,26,
01/20/2025,4,21,,25,
01/21/2025,12,14,,26,
01/22/2025,7,20,,27,
01/23/2025,4,24,,28,
01/24/2025,1,21,,22,
01/25/2025,3,24,,27,
01/26/2025,3,21,,24,
01/27/2025,7,13,,20,1
01/28/2025,5,17,,22,
01/29/2025,3,24,,27,
01/30/2025,1,15,,16,
01/31/2025,11,15,,26,
02/01/2025,6,13,,19,
02/02/2025,6,24,,30,
02/03/2025,4,24,,28,1
02/04/2025,6,13,,19,
02/05/2025,10,19,,29,
02/06/2025,17,,,17,
02/07/2025,14,16,4,34,
02/08/2025,5,17,,22,
02/09/2025,4,,14,18,
02/10/2025,10,13,10,33,1
02/11/2025,,,,0,
02/12/2025,5,15,,20,
02/13/2025,10,14,,24,
02/14/2025,13,12,,25,
02/15/2025,12,7,12,31,
02/16/2025,4,23,,27,
02/17/2025,4,18,,22,
02/18/2025,3,25,2,30,1
02/19/2025,5,20,,25,
02/20/2025,10,18,,28,
02/21/2025,7,17,,24,
02/22/2025,5,24,,29,
02/23/2025,4,17,,21,
02/24/2025,8,17,,25,
02/25/2025,9,19,,28,
02/26/2025,4,20,,24,
02/27/2025,5,16,,21,1
02/28/2025,8,13,,21,
03/01/2025,9,19,,28,
03/02/2025,3,25,,28,
03/03/2025,5,10,6,21,
03/04/2025,15,10,2,27,
03/05/2025,8,21,2,31,
03/06/2025,3,13,10,26,1
03/07/2025,13,10,,23,
03/08/2025,18,11,,29,
03/09/2025,1,31,,32,
03/10/2025,2,25,,27,
03/11/2025,5,20,,25,
03/12/2025,13,12,,25,
03/13/2025,13,16,,29,1
03/14/2025,3,26,,29,
03/15/2025,8,21,,29,
03/16/2025,4,21,,25,
03/17/2025,13,8,4,25,
03/18/2025,13,16,,29,
03/19/2025,5,20,,25,
03/20/2025,10,12,,22,
03/21/2025,12,15,,27,
03/22/2025,6,14,,20,1
03/23/2025,,25,,25,
03/24/2025,11,14,,25,
03/25/2025,11,14,,25,
03/26/2025,6,18,,24,
03/27/2025,4,19,,23,
03/28/2025,5,16,,21,
03/29/2025,10,11,,21,
03/30/2025,5,23,,28,
03/31/2025,6,21,,27,
04/01/2025,9,15,,24,
04/02/2025,,30,,30,
04/03/2025,,26,,26,
04/04/2025,18,7,,25,
04/05/2025,8,17,,25,
04/06/2025,7,,,7,
04/07/2025,25,22,,47,
04/08/2025,9,17,,26,
04/09/2025,7,,,7,
04/10/2025,25,19,,44,
04/11/2025,5,18,,23,
04/12/2025,21,,,21,
04/13/2025,6,20,,26,
04/14/2025,13,13,,26,
04/15/2025,9,17,,26,
04/16/2025,9,17,,26,
04/17/2025,6,22,,28,
04/18/2025,11,15,,26,
04/19/2025,9,15,,24,
04/20/2025,9,18,,27,
04/21/2025,8,17,,25,
04/22/2025,7,17,2,26,
04/23/2025,,27,,27,
04/24/2025,,,,0,
04/25/2025,6,20,,26,
04/26/2025,16,11,,27,1
04/27/2025,,,,0,
04/28/2025,8,19,,27,
04/29/2025,7,20,,27,
04/30/2025,13,,,13,
05/01/2025,6,24,,30,
05/02/2025,8,22,,30,
05/03/2025,9,,,9,
05/04/2025,12,18,,30,
05/05/2025,13,12,,25,
05/06/2025,11,19,,30,
05/07/2025,7,18,,25,
05/08/2025,12,14,,26,
05/09/2025,,,,0,
05/10/2025,,,,0,
05/11/2025,13,,,13,
05/12/2025,13,18,,31,
05/13/2025,10,9,,19,
05/14/2025,,,,0,
05/15/2025,12,15,,27,
05/16/2025,8,12,,20,
05/17/2025,8,18,,26,
05/18/2025,,23,,23,
05/19/2025,5,20,,25,
05/20/2025,5,18,,23,
